siteid, sensorid, timestamp, value
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:00:00'}",1
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:00:00'}",49
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:00:00'}",6
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:00:00'}",57
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:00:00'}",31
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:00:00'}",6
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:00:00'}",55
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:00:00'}",25
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:00:00'}",6
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:00:00'}",#ERROR#
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:15:00'}",52
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:15:00'}",189
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:15:00'}",68
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:15:00'}",86
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:15:00'}",6
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:15:00'}",8
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:15:00'}",33
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:15:00'}",6
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:15:00'}",56
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:15:00'}",98
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:15:00'}",6
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:15:00'}",83
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:15:00'}",#ERROR#
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:15:00'}",6
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:15:00'}",84
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:30:00'}",28
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:30:00'}",#ERROR#
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:30:00'}",42
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:30:00'}",53
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:30:00'}",6
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:30:00'}",47
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:30:00'}",97
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:30:00'}",6
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:30:00'}",72
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:30:00'}",94
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:30:00'}",6
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:30:00'}",#NA#
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:30:00'}",95
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:30:00'}",6
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:30:00'}",#INFO#
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:45:00'}",27
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:45:00'}",6
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:45:00'}",36
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:45:00'}",#NA#
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:45:00'}",6
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:45:00'}",30
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:45:00'}",56
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:45:00'}",6
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:45:00'}",65
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:45:00'}",40
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:45:00'}",6
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:45:00'}",54
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:45:00'}",35
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:45:00'}",6
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'01:45:00'}",15
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:00:00'}",1
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:00:00'}",6
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:00:00'}",64
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:00:00'}",80
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:00:00'}",6
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:00:00'}",39
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:00:00'}",49
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:00:00'}",6
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:00:00'}",30
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:00:00'}",38
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:00:00'}",6
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:00:00'}",43
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:00:00'}",49
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:00:00'}",6
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:00:00'}",88
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:15:00'}",63
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:15:00'}",7
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:15:00'}",92
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:15:00'}",67
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:15:00'}",7
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:15:00'}",10
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:15:00'}",13
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:15:00'}",7
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:15:00'}",14
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:15:00'}",21
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:15:00'}",7
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:15:00'}",98
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:15:00'}",66
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:15:00'}",7
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:15:00'}",12
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:30:00'}",85
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:30:00'}",7
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:30:00'}",71
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:30:00'}",95
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:30:00'}",7
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:30:00'}",40
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:30:00'}",45
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:30:00'}",7
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:30:00'}",44
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:30:00'}",96
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:30:00'}",7
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:30:00'}",75
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:30:00'}",68
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:30:00'}",-2
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:30:00'}",69
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:45:00'}",71
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:45:00'}",7
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:45:00'}",93
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:45:00'}",#INFO#
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:45:00'}",7
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:45:00'}",10
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:45:00'}",6
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:45:00'}",7
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:45:00'}",3
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:45:00'}",69
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:45:00'}",#INFO#
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:45:00'}",78
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:45:00'}",12
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:45:00'}",7
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'02:45:00'}",48
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:00:00'}",10
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:00:00'}",7
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:00:00'}",12
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:00:00'}",81
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:00:00'}",7
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:00:00'}",84
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:00:00'}",56
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:00:00'}",7
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:00:00'}",29
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:00:00'}",17
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:00:00'}",7
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:00:00'}",35
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:00:00'}",76
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:00:00'}",7
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:00:00'}",48
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:15:00'}",100
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:15:00'}",7
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:15:00'}",22
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:15:00'}",27
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:15:00'}",7
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:15:00'}",#INFO#
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:15:00'}",86
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:15:00'}",7
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:15:00'}",81
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:15:00'}",12
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:15:00'}",7
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:15:00'}",57
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:15:00'}",61
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:15:00'}",7
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:15:00'}",43
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:30:00'}",96
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:30:00'}",8
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:30:00'}",19
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:30:00'}",127
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:30:00'}",8
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:30:00'}",24
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:30:00'}",49
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:30:00'}",8
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:30:00'}",61
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:30:00'}",62
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:30:00'}",8
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:30:00'}",-91
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:30:00'}",41
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:30:00'}",8
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:30:00'}",36
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:45:00'}",63
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:45:00'}",8
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:45:00'}",59
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:45:00'}",42
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:45:00'}",8
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:45:00'}",0
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:45:00'}",45
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:45:00'}",8
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:45:00'}",1
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:45:00'}",14
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:45:00'}",8
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:45:00'}",85
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:45:00'}",-85
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:45:00'}",8
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'03:45:00'}",#ERROR#
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:00:00'}",85
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:00:00'}",8
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:00:00'}",#ERROR#
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:00:00'}",82
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:00:00'}",8
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:00:00'}",68
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:00:00'}",1
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:00:00'}",8
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:00:00'}",92
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:00:00'}",48
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:00:00'}",8
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:00:00'}",9
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:00:00'}",48
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:00:00'}",8
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:00:00'}",5
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:15:00'}",95
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:15:00'}",8
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:15:00'}",24
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:15:00'}",70
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:15:00'}",8
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:15:00'}",60
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:15:00'}",39
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:15:00'}",8
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:15:00'}",89
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:15:00'}",#ERROR#
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:15:00'}",8
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:15:00'}",83
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:15:00'}",44
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:15:00'}",8
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:15:00'}",70
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:30:00'}",48
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:30:00'}",#ERROR#
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:30:00'}",#NA#
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:30:00'}",16
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:30:00'}",8
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:30:00'}",66
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:30:00'}",2
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:30:00'}",8
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:30:00'}",66
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:30:00'}",166
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:30:00'}",8
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:30:00'}",#INFO#
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:30:00'}",32
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:30:00'}",-9
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:30:00'}",39
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:45:00'}",58
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:45:00'}",9
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:45:00'}",96
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:45:00'}",-3
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:45:00'}",9
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:45:00'}",12
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:45:00'}",73
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:45:00'}",9
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:45:00'}",75
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:45:00'}",63
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:45:00'}",9
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:45:00'}",12
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:45:00'}",49
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:45:00'}",9
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'04:45:00'}",123
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:00:00'}",56
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:00:00'}",9
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:00:00'}",1
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:00:00'}",5
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:00:00'}",-55
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:00:00'}",62
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:00:00'}",21
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:00:00'}",9
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:00:00'}",5
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:00:00'}",64
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:00:00'}",173
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:00:00'}",84
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:00:00'}",13
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:00:00'}",9
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:00:00'}",60
1,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:15:00'}",17
1,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:15:00'}",9
1,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:15:00'}",#ERROR#
2,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:15:00'}",86
2,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:15:00'}",9
2,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:15:00'}",97
3,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:15:00'}",26
3,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:15:00'}",9
3,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:15:00'}",85
4,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:15:00'}",26
4,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:15:00'}",9
4,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:15:00'}",40
5,1,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:15:00'}",32
5,2,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:15:00'}",9
5,3,"{'Day':01,'Month':'Sep','Year':2018,'Time':'05:15:00'}",4
